SteamSpyPlayersEstimate,SteamSpyPlayersEstimate_log,DLCCount_log,PriceFinal_log,PCReqsHaveMin,PriceCurrency,PublisherCountCat,RecommendationCount
70484,11.163155200205026,0.0,1.9444805562457188,1,USD,0,822
46452,10.746196327732314,0.0,1.790091412127358,1,USD,0,588
47528,10.769095330043152,0.0,1.790091412127358,1,USD,0,474
36946,10.517239732281821,0.0,1.790091412127358,1,USD,0,236
195670,12.184189956404559,0.0,2.3969857684155302,1,USD,0,1810
548810,13.215509398924718,0.0,1.790091412127358,1,USD,0,2050
30848,10.3368596138973,0.0,1.790091412127358,1,USD,0,166
10582,9.267004219093725,0.0,1.790091412127358,1,USD,0,0
253421,12.442811362358691,0.0,0.0,1,missing,0,1481
17038,9.74326011321524,0.0,2.3969857684155302,1,USD,0,0
4842,8.48528964240323,0.0,2.196112848483529,1,USD,0,0
896031,13.705731405605041,0.0,2.3969857684155302,1,USD,0,4866
1783094,14.393861176412997,0.0,2.771963526845863,1,USD,0,14209
330183,12.707405353812634,0.0,2.3969857684155302,1,USD,0,2214
245709,12.411907257721746,0.0,2.3969857684155302,1,USD,0,1404
81783,11.31183690443685,0.0,2.3969857684155302,1,USD,0,384
196567,12.188763706407537,0.0,0.0,1,missing,0,125
154420,11.947437917686937,0.0,0.0,1,missing,0,0
627544,13.349570660564222,0.0,2.771963526845863,1,USD,0,5797
1436949,14.178033369744607,0.0,3.0440461338325413,1,USD,0,5677
6815,8.827028068509152,0.0,2.3969857684155302,1,USD,0,0
139355,11.844787089033758,0.0,2.3969857684155302,1,USD,0,951
51473,10.848832104801021,0.0,2.196112848483529,1,USD,0,219
17218,9.753768704286186,0.0,2.3969857684155302,1,USD,0,0
0,0.0,0.0,3.0440461338325413,1,USD,0,0
0,0.0,0.0,3.0440461338325413,1,USD,0,0
4484,8.408493774492896,0.0,2.771963526845863,1,USD,0,0
6277,8.744806737401898,0.0,2.771963526845863,1,USD,0,0
13272,9.493487175626202,0.0,1.790091412127358,1,USD,0,0
3766,8.23403420769204,0.0,2.3969857684155302,1,USD,0,0
9506,9.15978364835903,0.0,1.790091412127358,1,USD,0,133
53087,10.87970619299017,0.0,1.790091412127358,1,USD,0,179
9685,9.178436822963175,0.0,2.3969857684155302,1,USD,0,122
90392,11.411922109753812,0.0,2.3969857684155302,1,USD,0,437
46272,10.742313916626546,0.0,2.3969857684155302,1,USD,1,272
7712,8.950662495933999,0.0,2.3969857684155302,1,USD,1,0
3049,8.022896869601457,0.0,2.3969857684155302,1,USD,1,0
11120,9.316590491818841,0.0,2.3969857684155302,1,USD,1,0
1793,7.492203042618741,0.0,2.3969857684155302,1,USD,0,0
1255,7.135687347028144,0.0,2.3969857684155302,1,USD,0,0
6995,8.853093836138493,0.0,2.3969857684155302,1,USD,1,0
4484,8.408493774492896,0.0,2.3969857684155302,1,USD,1,0
2332,7.75491027202143,0.0,2.3969857684155302,1,USD,0,0
33359,10.415112856472684,0.0,2.3969857684155302,1,USD,0,148
535,6.284134161070802,0.0,2.0781907597781832,1,USD,1,0
237459,12.377754467219784,0.0,2.3969857684155302,1,USD,0,623
449809,13.01658055036338,0.0,2.771963526845863,1,USD,0,2893
54343,10.903089490871137,0.0,2.3969857684155302,1,USD,0,375
18652,9.833762270044563,0.0,2.3969857684155302,1,USD,0,239
414836,12.935640950973733,0.0,2.3969857684155302,1,USD,0,1349
300052,12.611714404701287,0.0,2.3969857684155302,1,USD,0,1084
1259393,14.046141210852015,0.0,2.3969857684155302,1,USD,0,8181
9147,9.121290555142672,0.0,1.790091412127358,1,USD,0,0
366770,12.812492954079655,0.0,0.0,1,missing,0,2053
66180,11.100148691666671,0.0,2.771963526845863,1,USD,0,188
237280,12.377000371793088,0.0,2.771963526845863,1,USD,0,1318
185986,12.133432057779627,0.0,2.3969857684155302,1,USD,0,1140
97746,11.490137786839563,0.0,2.3969857684155302,1,USD,0,418
76582,11.246130398983224,0.0,2.3969857684155302,1,USD,0,396
