DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,PlatformWindows,PlatformLinux,PlatformMac,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,HasDemo,MultipleDevs,DLCCountCat,Metacritic_Bins,MovieCountCat,PackageCategory,PublisherCategory,HasDiscount,HasEnglish,LanguageCount,HasSupportURL,HasSupportEmail,IsComWebsite,IsHttpWebsite
0,1,0,84,0,3,0,1,38740,5151,13810,3075,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99,9.99,0,0,0,4,0,> 1,<= 1,0,1,1,0,0,0,0
0,1,0,76,1,2,2870,1,417346,16900,281220,13875,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.99,9.99,0,0,0,3,0,> 1,<= 1,0,1,6,0,0,0,0
0,1,0,82,0,1,116,1,48245,5748,29413,4488,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99,4.99,0,0,0,4,0,1,<= 1,0,1,1,0,0,1,1
0,1,0,72,1,1,501,1,104381,8455,56316,6211,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99,9.99,0,0,0,2,0,1,<= 1,0,1,5,0,0,1,1
0,1,0,0,0,1,0,1,28158,4392,10761,2715,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.99,4.99,0,0,0,0,0,1,<= 1,0,1,1,0,0,0,1
1,1,0,82,3,5,308,2,369998,15913,113708,8825,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9.99,2.49,1,0,0,4,2,> 1,> 1,1,1,7,0,1,1,1
1,1,0,65,2,2,374,1,256111,13241,67794,6814,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99,1.24,1,0,0,1,1,> 1,<= 1,1,1,2,0,0,1,1
1,1,0,0,0,2,0,1,53805,6071,35870,4957,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,> 1,<= 1,0,1,5,0,0,0,0
1,1,0,0,0,1,0,1,37663,5079,22419,3919,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,5,0,0,0,0
1,1,0,0,0,2,118,1,55598,6171,34614,4869,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,> 1,<= 1,0,1,5,0,0,0,0
1,1,0,0,0,1,0,1,26544,4264,11478,2804,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,0,1,0,1,36587,5006,16141,3325,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,0,1,0,1,26006,4220,12196,2890,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,0,1,0,1,27799,4364,10402,2669,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,0,1,0,1,40712,5281,18473,3557,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,0,1,0,1,24930,4132,7712,2298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
1,1,0,0,0,1,0,1,27261,4321,10940,2737,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.99,4.99,1,0,0,0,0,1,<= 1,0,1,1,0,0,0,0
